3_Room,Tsft(3),2_Room,Tsft(2),4_Room,Tsft(4)
4900,1271,3000,942,3500,15000
7500,1390,4450,1050,4400,12500
3599,1420,2823,850,3200,22000
3800,1034,5500,750,3200,18000
3500,1196,4500,850,4000,19500
4700,960,5500,1050,2990,16722
5700,1350,5500,935,2307,8700
2800,1177,4000,700,3300,16667
4500,1321,4500,960,2335,15500
3500,1038,8600,1750,1475,6000
4500,1329,5500,775,1600,5500
4450,1085,5300,875,5200,17000
4200,1054,3500,1062,5114,25000
4450,1050,5300,875,3420,22000
4500,1227,6200,800,2990,20000
4500,1277,5500,750,3267,15000
4500,1250,2823,850,1200,6500
4450,1050,5500,850,1400,6500
3000,1028,4800,900,5365,19000
4600,1420,4800,800,2560,22000
5200,1100,2823,850,2600,13000
9500,1930,5500,750,3500,24000
3000,1000,4200,875,1580,6500
3500,1086,5700,850,2377,12500
3500,1225,4500,900,2198,8500
4500,1200,5500,750,2200,7000
3800,1180,4100,905,5300,7500
4500,1459,5500,775,6200,2388
9500,1700,5500,750,5500,6985
5000,1400,5700,850,3500,9800
6500,1340,5500,915,4500,12500
7200,1330,5500,750,3800,23000
4700,1200,4300,900,4500,14789
6000,1668,4000,900,7500,96540
4700,1115,3290,700,3599,8700
6500,1150,3400,825,3800,9500
5700,1166,2995,846,3500,10245
8000,1250,4500,1135,4700,15500
6000,1668,5500,750,5700,16879
4900,1030,7000,685,5500,17500
5300,1250,5500,750,4000,16900
5700,1321,4500,1050,4500,25000
5200,910,8500,1700,8600,17000
3800,1200,4300,900,5500,25000
4500,1216,5300,940,5300,22000
4100,975,4000,850,3500,15000
4000,1290,5000,850,5200,12500
6500,1650,4700,650,3800,22000
8500,1300,5300,875,4500,9800
5500,1010,4150,820,4150,12500
